"Make & Model
",Issue Tested,Base MSRP,Engine Type,Transmission,Rear-Wheel HP,Rear-Wheel TQ (lb.-ft.),Wet Weight,Average MPG,Top Speed,"0–60 mph, sec.","0–100 mph, sec.","0–1/4 mile, sec.","0–1/4 mile, mph",Braking 60–0 mph (feet),Power to Weight,"Rating Category
Overall Rating",,,,dimensions,15
Monster 1100S,4/09,"$13,995",L-2,6,83.55,66.9,413.5,38.7,135.5,3.49,8.58,11.48,114.77,112.4,1:4.95,Open Standard,,,,,
Streetfighter S,9/09,"$18,995",L-2,6,141.12,78.0,448,40.5,157.2,3.07,6.62,10.66,128.50,120.6,1:3.18,Open Standard,,,,,
1199 Panigale S,9/12,"$22,995",L-2,6,171.8,86.04,425,34.2,177.6,2.98,5.59,9.91,145.95,119.1,1:2.47,Open Sportbike,,,,,
Multistrada 1200S,9/10,"$19,995",L-2,6,135.51,81.68,503.5,40.5,156.4,3.09,6.50,10.62,127.62,114.3,1:3.71,Open Adventure-Tourer,,,,,
Multistrada 1200S Touring,7/13,"$19,995",L-2,6,131.1,77.8,539,38.2,149.8,3.57,7.65,11.29,124.1,124.1,1:4.11,Open Adventure-Tourer,,,,,
Diavel Carbon,6/11,$20.00,L-2,6,134.3,79.65,519.5,38.5,157.2,2.80,5.88,10.22,132.81,107.9,1:3.87,Open Cruiser,,,,,
Gurney Alligator,12/03,"$35,000",1,5,57.7,47.6,360,46.8,129,3.84,10.44,12.05,109.23,112.2,1:6.24,Middleweight Sportbike,,,,,
Harley-Davidson Sportster 48,4/13,"$11,024",V-2,5,59.94,65.17,550.5,37.9,110.3,5.01,n/.a,13.42,95.99,121.9,1:9.18,Middleweight Cruiser,,,,,
Sportster 883L,1/05,$6895,V-2,5,40.8,41.9,574,51.3,108,6.94,n/.a,14.98,88.93,134.0,1:14.07,Middleweight Cruiser,,,,,
Sportster SuperLow,10/10,$7999,V-2,5,47.5,48.02,566.5,51.7,105.2,6.37,n/.a,14.60,89.15,124.96,1:11.92,Middleweight Cruiser,,,,,
VRSCF V-Rod Muscle,1/10,"$18,299",V-2,5,105.0,73.1,677.5,26.8,137.6,3.73,9.06,11.73,113.79,113.7,1:6.45,Heavyweight Cruiser,,,,,
VRSC V-Rod,11/01,"$16,999",V-2,5,103.2,72.0,619,34.1,137,3.52,8.22,11.38,119.07,109.5,1:6.00,Heavyweight Cruiser,,,,,
VRSCR Street Rod,5/05,"$16,495",V-2,5,102.2,68.4,636,35.7,134,4.25,9.57,12.07,114.81,127.9,1:6.22,Open Standard,,,,,
